iter	Passed	Remaining
0	0	975
1	1	843
2	2	782
3	3	769
4	3	772
5	4	786
6	5	778
7	6	767
8	6	759
9	7	752
10	8	748
11	9	759
12	10	760
13	10	761
14	11	755
15	12	751
16	12	745
17	13	744
18	14	740
19	15	738
20	15	738
21	16	737
22	17	737
23	18	735
24	18	735
25	19	731
26	20	727
27	20	724
28	21	723
29	22	720
30	22	718
31	23	721
32	24	725
33	25	726
34	26	724
35	26	722
36	27	721
37	28	718
38	29	717
39	29	715
40	30	714
41	31	712
42	31	710
43	32	709
44	33	706
45	34	705
46	34	704
47	35	701
48	36	700
49	36	699
50	37	696
51	38	694
52	38	696
53	39	700
54	40	699
55	41	697
56	42	696
57	42	694
58	43	692
59	44	690
60	44	688
61	45	686
62	46	684
63	46	683
64	47	682
65	48	681
66	48	679
67	49	677
68	50	676
69	50	674
70	51	673
71	52	672
72	52	670
73	53	669
74	54	671
75	55	670
76	55	669
77	56	668
78	57	666
79	57	665
80	58	664
81	59	663
82	59	658
83	60	657
84	60	656
85	61	655
86	62	654
87	63	653
88	63	652
89	64	650
90	64	648
91	65	646
92	66	644
93	66	642
94	67	640
95	67	638
96	68	636
97	69	637
98	70	637
99	70	636
100	71	634
101	71	633
102	72	631
103	73	629
104	73	627
105	74	625
106	74	624
107	75	622
108	76	621
109	76	621
110	77	619
111	77	618
112	78	616
113	79	615
114	79	613
115	80	612
116	80	609
117	81	608
118	82	607
119	82	605
120	83	604
121	83	602
122	84	603
123	85	603
124	86	602
125	86	601
126	87	598
127	87	597
128	88	596
129	88	594
130	89	593
131	90	592
132	90	591
133	91	590
134	91	589
135	92	587
136	93	586
137	93	585
138	94	584
139	94	583
140	95	582
141	95	579
142	96	578
143	97	577
144	97	576
145	98	575
146	99	575
147	100	576
148	100	575
149	101	574
150	101	573
151	102	571
152	103	570
153	103	569
154	104	568
155	104	567
156	105	566
157	106	565
158	106	564
159	107	563
160	107	560
161	108	559
162	108	558
163	109	557
164	109	556
165	110	555
166	111	554
167	111	552
168	112	551
169	112	550
170	113	549
171	114	550
172	115	550
173	115	549
174	116	548
175	116	547
176	117	546
177	118	545
178	120	550
179	120	550
180	121	550
181	122	550
182	123	549
183	123	548
184	124	547
185	124	546
186	125	545
187	125	544
188	126	543
189	127	542
190	127	541
191	128	540
192	129	539
193	129	539
194	130	539
195	131	538
196	131	537
197	132	536
198	133	536
199	133	535
200	134	535
201	135	535
202	136	534
203	136	533
204	137	532
205	137	531
206	138	530
207	139	529
208	139	528
209	140	528
210	141	527
211	141	526
212	142	525
213	142	524
214	143	523
215	144	523
216	145	523
217	145	523
218	146	522
219	147	522
220	147	521
221	148	520
222	149	519
223	149	518
224	150	517
225	150	516
226	151	516
227	152	515
228	152	514
229	153	513
230	153	512
231	154	511
232	155	511
233	155	510
234	156	509
235	157	508
236	157	507
237	158	506
238	158	505
239	159	506
240	160	505
241	161	504
242	161	504
243	162	503
244	162	502
245	163	501
246	164	500
247	164	499
248	165	498
249	165	497
250	166	496
251	166	495
252	167	494
253	168	493
254	168	493
255	169	492
256	169	491
257	170	490
258	171	489
259	171	488
260	172	487
261	172	487
262	173	486
263	174	485
264	175	485
265	175	485
266	176	484
267	177	483
268	177	482
269	178	482
270	178	481
271	179	480
272	180	479
273	180	478
274	181	477
275	181	476
276	182	476
277	182	475
278	183	474
279	184	473
280	184	472
281	185	471
282	185	471
283	186	470
284	187	469
285	187	468
286	188	467
287	188	467
288	189	466
289	190	466
290	191	465
291	191	465
292	192	464
293	193	463
294	193	462
295	194	461
296	194	461
297	195	460
298	195	459
299	196	458
300	197	457
301	197	456
302	198	456
303	198	455
304	199	454
305	200	453
306	200	452
307	201	452
308	201	451
309	202	450
310	203	449
311	203	449
312	204	448
313	205	448
314	205	447
315	206	447
316	207	446
317	207	445
318	208	444
319	208	443
320	209	443
321	210	442
322	210	441
323	211	440
324	211	439
325	212	439
326	212	438
327	213	437
328	214	436
329	214	435
330	215	435
331	215	434
332	216	433
333	217	432
334	217	432
335	218	431
336	219	431
337	219	430
338	220	430
339	221	429
340	221	428
341	222	428
342	223	427
343	223	426
344	224	425
345	224	424
346	225	424
347	225	423
348	226	422
349	226	421
350	227	420
351	228	419
352	228	419
353	229	418
354	229	417
355	230	416
356	231	416
357	231	415
358	232	414
359	232	414
360	233	413
361	234	412
362	235	412
363	235	412
364	236	411
365	237	410
366	237	409
367	238	409
368	238	408
369	239	407
370	240	406
371	240	406
372	241	405
373	241	404
374	242	403
375	242	403
376	243	402
377	244	401
378	244	400
379	245	400
380	245	399
381	246	398
382	247	398
383	247	397
384	248	396
385	249	396
386	249	395
387	250	395
388	251	394
389	251	393
390	252	393
391	253	392
392	253	391
393	254	390
394	254	390
395	255	389
396	255	388
397	256	387
398	257	387
399	257	386
400	258	385
401	258	385
402	259	384
403	260	383
404	260	382
405	261	382
406	261	381
407	262	380
408	263	380
409	263	379
410	264	378
411	265	378
412	265	377
413	266	377
414	267	376
415	267	375
416	268	375
417	268	374
418	269	373
419	269	372
420	270	372
421	271	371
422	271	370
423	272	369
424	272	369
425	273	368
426	274	367
427	274	366
428	275	366
429	275	365
430	276	365
431	277	364
432	277	363
433	278	362
434	278	362
435	279	361
436	280	361
437	281	360
438	281	359
439	282	359
440	282	358
441	283	357
442	284	357
443	284	356
444	285	355
445	285	354
446	286	354
447	286	353
448	287	352
449	288	352
450	288	351
451	289	350
452	289	350
453	290	349
454	291	348
455	291	348
456	292	347
457	292	346
458	293	345
459	294	345
460	294	344
461	295	344
462	296	343
463	296	343
464	297	342
465	298	341
466	298	340
467	299	340
468	299	339
469	300	338
470	300	338
471	301	337
472	302	336
473	302	335
474	303	335
475	303	334
476	304	333
477	305	333
478	305	332
479	306	332
480	307	331
481	308	331
482	308	330
483	309	330
484	310	329
485	311	329
486	311	328
487	312	327
488	313	327
489	313	326
490	314	325
491	314	325
492	315	324
493	315	323
494	316	322
495	317	322
496	317	321
497	318	320
498	318	320
499	319	319
500	320	318
501	320	318
502	321	317
503	321	316
504	322	316
505	323	315
506	323	314
507	324	313
508	324	313
509	325	312
510	326	312
511	326	311
512	327	310
513	328	310
514	328	309
515	329	308
516	329	308
517	330	307
518	331	306
519	331	306
520	332	305
521	333	305
522	333	304
523	334	303
524	334	303
525	335	302
526	336	301
527	336	300
528	337	300
529	337	299
530	338	299
531	339	298
532	339	297
533	340	297
534	341	296
535	341	296
536	342	295
537	343	294
538	343	293
539	344	293
540	344	292
541	345	291
542	346	291
543	346	290
544	347	290
545	348	289
546	348	288
547	349	288
548	349	287
549	350	286
550	350	285
551	351	285
